"","start_date","end_date","pollster","sponsor","sample_size","population","party","subject","tracking","text","approve","disapprove","url"
"1","2020-02-02","2020-02-04","YouGov","Economist",1500,"a","all","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","42",29,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf"
"2","2020-02-02","2020-02-04","YouGov","Economist",376,"a","R","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","75",6,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf"
"3","2020-02-02","2020-02-04","YouGov","Economist",523,"a","D","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","21",51,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf"
"4","2020-02-02","2020-02-04","YouGov","Economist",599,"a","I","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","39",25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf"
"5","2020-02-07","2020-02-09","Morning Consult","",2200,"a","all","Trump",FALSE,"Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump","57",22,"https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf"
"6","2020-02-07","2020-02-09","Morning Consult","",684,"a","R","Trump",FALSE,"Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump","88",4,"https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf"
"7","2020-02-07","2020-02-09","Morning Consult","",817,"a","D","Trump",FALSE,"Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump","37",37,"https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf"
"8","2020-02-07","2020-02-09","Morning Consult","",700,"a","I","Trump",FALSE,"Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump","50",22,"https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf"
"9","2020-02-07","2020-02-09","Morning Consult","Politico",1996,"rv","all","Trump",FALSE,"And, do you approve or disapprove of how each of the following have handled the response to the coronavirus? President Trump","39",35,"https://morningconsult.com/wp-content/uploads/2020/02/200213_crosstabs_POLITICO_RVs_v1_AUTO.pdf"
"10","2020-02-07","2020-02-09","Morning Consult","Politico",700,"rv","R","Trump",FALSE,"And, do you approve or disapprove of how each of the following have handled the response to the coronavirus? President Trump","71",8,"https://morningconsult.com/wp-content/uploads/2020/02/200213_crosstabs_POLITICO_RVs_v1_AUTO.pdf"
"11","2020-02-07","2020-02-09","Morning Consult","Politico",788,"rv","D","Trump",FALSE,"And, do you approve or disapprove of how each of the following have handled the response to the coronavirus? President Trump","15",60,"https://morningconsult.com/wp-content/uploads/2020/02/200213_crosstabs_POLITICO_RVs_v1_AUTO.pdf"
"12","2020-02-07","2020-02-09","Morning Consult","Politico",508,"rv","I","Trump",FALSE,"And, do you approve or disapprove of how each of the following have handled the response to the coronavirus? President Trump","34",33,"https://morningconsult.com/wp-content/uploads/2020/02/200213_crosstabs_POLITICO_RVs_v1_AUTO.pdf"
"13","2020-02-09","2020-02-11","YouGov","Economist",1500,"a","all","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","39",28,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf"
"14","2020-02-09","2020-02-11","YouGov","Economist",378,"a","R","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","74",7,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf"
"15","2020-02-09","2020-02-11","YouGov","Economist",510,"a","D","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","19",50,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf"
"16","2020-02-09","2020-02-11","YouGov","Economist",607,"a","I","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","33",25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf"
"17","2020-02-16","2020-02-18","YouGov","Economist",1500,"a","all","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","39",32,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf"
"18","2020-02-16","2020-02-18","YouGov","Economist",381,"a","R","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","78",8,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf"
"19","2020-02-16","2020-02-18","YouGov","Economist",529,"a","D","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","11",59,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf"
"20","2020-02-16","2020-02-18","YouGov","Economist",583,"a","I","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","36",25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf"
"21","2020-02-23","2020-02-25","YouGov","Economist",1500,"a","all","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","39",31,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf"
"22","2020-02-23","2020-02-25","YouGov","Economist",386,"a","R","Trump",FALSE,"Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?","77",7,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf"
